Company Name,Ticker,Fiscal Year,Revenue Group (Reportable Segment),Revenue Line,Line Item description (company language),Revenue ($m)
MICROSOFT CORP,MSFT,2025,Productivity and Business Processes,Dynamics products and cloud services,"Dynamics products and cloud services include Dynamics 365, comprising a set of intelligent, cloud-based applications across ERP, CRM, Power Apps, and Power Automate; and on-premises ERP and CRM applications.",7827.0
MICROSOFT CORP,MSFT,2025,Intelligent Cloud,Enterprise and partner services,"Enterprise and partner services include Enterprise Support Services, Industry Solutions, Nuance professional services, Microsoft Partner Network, and Learning Experience.",7760.0
MICROSOFT CORP,MSFT,2025,Productivity and Business Processes,Microsoft 365 Consumer products and cloud services,"Microsoft 365 Consumer products and cloud services include Microsoft 365 Consumer subscriptions, Office licensed on-premises, and other consumer services.",7404.0
MICROSOFT CORP,MSFT,2025,Other,Other,,72.0
Alphabet Inc.,GOOGL,2024,Google Services,Google Search & other,"Google Search & other includes revenues generated on Google search properties (including revenues from traffic generated by search distribution partners who use Google.com as their default search in browsers, toolbars, etc.), and other Google owned and operated properties like Gmail, Google Maps, and Google Play.",198084.0
Alphabet Inc.,GOOGL,2024,Google Cloud,Google Cloud,"Google Cloud generates revenues primarily from consumption-based fees and subscriptions for infrastructure, platform, applications, and other cloud services.",43229.0
Alphabet Inc.,GOOGL,2024,Google Services,"Google subscriptions, platforms, and devices","Google subscriptions, platforms, and devices includes revenues from consumer subscriptions (primarily from YouTube services such as YouTube TV, YouTube Music and Premium, and NFL Sunday Ticket, as well as Google One), platforms (primarily from Google Play sales of apps and in-app purchases), and devices (primarily sales of the Pixel family of devices).",40340.0
Alphabet Inc.,GOOGL,2024,Google Services,YouTube ads,YouTube ads includes revenues generated on YouTube properties.,36147.0
Alphabet Inc.,GOOGL,2024,Google Services,Google Network,"Google Network includes revenues generated on Google Network properties participating in AdMob, AdSense, and Google Ad Manager.",30359.0
Alphabet Inc.,GOOGL,2024,Other Bets,Other Bets,,1648.0
