Company,Ticker,Segment,Segment description,Key products / services (keywords),Primary source,Link
Alphabet Inc.,GOOGL,Other Bets,Other Bets segment includes Alphabet's experimental and emerging businesses outside of Google Services and Google Cloud. This segment typically operates at a loss and includes various projects and companies that are in development or early stages. It is reported separately to distinguish these ventures from the main business segments.,Other Bets,"10-K Part I, Item 1 Business and Note 15",https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm
AMAZON COM INC,AMZN,AWS,"AWS serves developers and enterprises of all sizes, including start-ups, government agencies, and academic institutions, by offering a broad set of on-demand technology services such as compute, storage, database, analytics, and machine learning. It also provides programs for content creators like authors, independent publishers, musicians, filmmakers, Twitch streamers, and app developers to publish and sell content. Additionally, AWS offers advertising services to sellers, vendors, publishers, and authors through sponsored ads, display, and video advertising.",AWS; sponsored ads; display advertising; video advertising,AWS text snippet and revenue items,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
AMAZON COM INC,AMZN,International,"The International segment includes fulfillment of customer orders through global fulfillment networks, co-sourced and outsourced arrangements, digital delivery, and physical stores. It supports sellers by enabling them to grow their businesses, sell products in Amazon stores, and fulfill orders using Amazon's services, earning fees from these seller programs. It also serves developers and enterprises through AWS and offers programs for content creators.",North America; International; AWS,International text snippet and revenue items,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
AMAZON COM INC,AMZN,North America,"The North America segment provides fast, free shipping on tens of millions of items, access to award-winning movies and series, live sports, and other benefits. Customer orders are fulfilled through North America and International fulfillment networks, co-sourced and outsourced arrangements, digital delivery, and physical stores. Customer service centers operate globally to support this segment.",North America; International; AWS,North America text snippet and revenue items,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
"Meta Platforms, Inc.",META,Family of Apps,"The Family of Apps segment primarily generates revenue through selling advertising placements on its family of apps to marketers. These ads enable marketers to reach people across various marketing objectives such as generating leads or driving awareness. The segment focuses on helping people learn, get things done, create content, and connect with others through its platforms.",Advertising; Other revenue,SEC 10-K text snippet and revenue items,https://www.sec.gov/Archives/edgar/data/1326801/000132680125000017/meta-20241231.htm
"Meta Platforms, Inc.",META,Reality Labs,"Reality Labs is a segment designed to help people learn, get things done, create content, and connect with others, including through AI glasses and web-based experiences. While the segment is distinct from Family of Apps, it is reported separately and includes revenue items specific to Reality Labs.",Reality Labs,SEC 10-K text snippet and revenue items,https://www.sec.gov/Archives/edgar/data/1326801/000132680125000017/meta-20241231.htm
NVIDIA CORP,NVDA,Automotive,"The Automotive segment focuses on AI model training and inference, data analytics, scientific computing, and 3D graphics with vertical-specific optimizations tailored for industries including automotive. It leverages NVIDIA's GPU technology to enable advanced automotive applications and virtual simulations.",Automotive,Automotive text snippet and revenue items,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm
NVIDIA CORP,NVDA,Data Center,"The Data Center segment accelerates compute-intensive workloads such as AI, data analytics, graphics, and scientific computing. It includes compute and networking solutions that scale to tens of thousands of GPU-accelerated servers, supporting modern AI applications. Key platforms include the Hopper computing platform for large language models and Spectrum-X ethernet platform for AI networking.",Compute; Networking; Hopper computing platform; Spectrum-X ethernet platform,Data Center text snippet and revenue items,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm
NVIDIA CORP,NVDA,Gaming,"The Gaming segment is rooted in NVIDIA's invention of the GPU, which revolutionized PC gaming and computer graphics. It includes products and software stacks that support gaming and compute-intensive applications, highlighted by the GeForce RTX 40 Series GPUs and CUDA programming model enabling parallel processing.",Gaming; GeForce RTX 40 Series GPUs; CUDA programming model,Gaming text snippet and revenue items,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm
NVIDIA CORP,NVDA,Professional Visualization,"The Professional Visualization segment delivers platforms combining processors, interconnects, software, algorithms, systems, and services to address markets requiring advanced visualization capabilities. It supports workloads in data center, gaming, professional visualization, and automotive markets.",Professional Visualization,Professional Visualization text snippet and revenue items,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm
NVIDIA CORP,NVDA,OEM and Other,The OEM and Other segment includes various products and services not specifically detailed in the provided text but is recognized as a distinct revenue category in NVIDIA's financial reporting.,OEM and Other,Revenue items from filing,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm
