Company Name,Business segment,Business item,Description of Business item,Textual description of the business item- Long form description,Primary source,Link
MICROSOFT CORP,More Personal Computing,Xbox Game Pass,Subscription service for Xbox gaming content.,Xbox Game Pass is a subscription service that offers access to a wide library of games for Xbox consoles and PC. It enhances the gaming ecosystem by providing diverse content.,10-K segment/business description,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
MICROSOFT CORP,More Personal Computing,Xbox Cloud Gaming,Cloud-based gaming service for Xbox titles.,"Xbox Cloud Gaming allows users to stream and play Xbox games on various devices via the cloud, expanding accessibility and convenience for gamers.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
MICROSOFT CORP,More Personal Computing,Bing,Microsoft's search engine platform.,Bing provides search engine services that deliver search results and advertising. It is part of the segment's focus on search and news advertising.,10-K segment/business description,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
MICROSOFT CORP,More Personal Computing,Microsoft Edge,Microsoft's web browser.,"Microsoft Edge is a web browser that supports search and news advertising, contributing to the personal computing experience and advertising ecosystem.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
MICROSOFT CORP,More Personal Computing,Microsoft News,News aggregation and delivery service.,"Microsoft News aggregates and delivers news content, supporting the segment's advertising and personal user experience goals.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
MICROSOFT CORP,Productivity and Business Processes,Microsoft 365 Commercial,A suite of productivity products and cloud services for commercial users.,"Microsoft 365 Commercial includes productivity, communication, and information services designed for commercial customers across various devices and platforms. It is part of the broader Microsoft 365 Commercial products and cloud services offering.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
MICROSOFT CORP,Productivity and Business Processes,Microsoft 365 Consumer,A suite of productivity products and cloud services for consumer users.,"Microsoft 365 Consumer includes productivity, communication, and information services designed for individual consumers across various devices and platforms. It is part of the broader Microsoft 365 Consumer products and cloud services offering.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
MICROSOFT CORP,Productivity and Business Processes,LinkedIn,A professional networking platform with various business solutions.,"LinkedIn offers professional networking services along with Talent, Marketing, Premium, and Sales Solutions. It is integrated within the Productivity and Business Processes segment to support professional networking and business productivity.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
MICROSOFT CORP,Productivity and Business Processes,Dynamics 365,A suite of intelligent business applications and cloud services.,Dynamics 365 includes products and cloud services focused on intelligent business applications. It also encompasses low code platforms like Power Apps and Power Automate to enhance business productivity.,10-K segment/business description,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
MICROSOFT CORP,Productivity and Business Processes,Power Apps,A low code platform for building custom business applications.,"Power Apps is a low code platform included in the Dynamics products and cloud services, enabling users to create custom business applications to improve productivity and business processes.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
MICROSOFT CORP,Productivity and Business Processes,Power Automate,A low code platform for automating workflows and business processes.,"Power Automate is a low code platform that allows users to automate workflows and business processes, included within the Dynamics products and cloud services to enhance business productivity.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
Alphabet Inc.,Google Cloud,cloud computing services,Cloud computing services offered by Google Cloud segment.,"The Google Cloud segment provides cloud computing services, which include various infrastructure offerings. These services are a distinct part of Alphabet's business and are tracked independently for profitability and revenue.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm
Alphabet Inc.,Google Cloud,infrastructure offerings,Infrastructure offerings provided by Google Cloud segment.,Google Cloud segment offers infrastructure offerings as part of its cloud computing services. These offerings support the segment's distinct business focus within Alphabet and contribute to its independent revenue tracking.,10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm
Alphabet Inc.,Google Services,Google Search,A consumer-facing product for internet search.,"Google Search is a core consumer product that allows users to search the internet for information. It is a significant part of the Google Services segment, contributing to revenue generation.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm
Alphabet Inc.,Google Services,YouTube advertising,Advertising services on the YouTube platform.,"YouTube advertising involves providing ad placements on the YouTube platform, targeting consumers and advertisers. It is a key revenue source within the Google Services segment.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm
Alphabet Inc.,Google Services,Google Network,A platform for advertising and content distribution.,Google Network encompasses platforms that facilitate advertising and content distribution across various partner sites and services. It supports the core business operations of Google Services.,10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm
Alphabet Inc.,Google Services,"Google subscriptions, platforms, and devices","Subscription services, platforms, and devices offered by Google.","This category includes various subscription services, platforms, and devices provided by Google, contributing to the overall revenue and operating income of the Google Services segment.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm
AMAZON COM INC,AWS,compute,On-demand compute technology services offered by AWS.,AWS provides on-demand compute services that enable developers and enterprises to run applications and workloads efficiently. These services support a wide range of computing needs for various customers including start-ups and government agencies.,10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
AMAZON COM INC,AWS,storage,On-demand storage technology services offered by AWS.,AWS offers on-demand storage services that allow customers to store and manage data securely and at scale. These services cater to a diverse customer base including academic institutions and enterprises.,10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
AMAZON COM INC,AWS,database,On-demand database technology services offered by AWS.,"AWS provides database services that support the storage, retrieval, and management of data for various applications. These services are designed to meet the needs of developers, enterprises, and government agencies.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
AMAZON COM INC,AWS,analytics,On-demand analytics technology services offered by AWS.,AWS offers analytics services that help customers analyze and gain insights from their data. These services support a wide range of industries and customer types including academic institutions and start-ups.,10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
AMAZON COM INC,AWS,machine learning,On-demand machine learning technology services offered by AWS.,"AWS provides machine learning services that enable customers to build, train, and deploy machine learning models at scale. These services are used by developers, enterprises, and government agencies.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
AMAZON COM INC,AWS,sponsored ads,"Advertising services offered by AWS to sellers, vendors, publishers, and authors.","AWS offers sponsored ads as part of its advertising services, helping sellers, vendors, publishers, and authors promote their products and content. These ads are designed to increase visibility and sales through targeted advertising.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
AMAZON COM INC,AWS,display advertising,Display advertising services offered by AWS.,"AWS provides display advertising services that allow sellers, vendors, publishers, and authors to showcase their products and content visually. This service is part of AWS's broader advertising offerings.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
AMAZON COM INC,AWS,video advertising,Video advertising services offered by AWS.,"AWS offers video advertising services to help sellers, vendors, publishers, and authors promote their content through engaging video formats. This complements other advertising services provided by AWS.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
AMAZON COM INC,International,AWS,Cloud services offered to developers and enterprises.,"AWS provides cloud computing services that support developers and enterprises globally. It is part of the International segment's offerings, enabling various digital and cloud-based solutions.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
AMAZON COM INC,North America,"fast, free shipping","Fast, free shipping on tens of millions of items.","The North America segment offers fast, free shipping on tens of millions of items, ensuring quick delivery to customers. This service is a key benefit provided to customers in this region.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
AMAZON COM INC,North America,award-winning movies and series,Access to award-winning movies and series.,Customers in the North America segment have access to award-winning movies and series as part of the benefits offered. This content is part of the entertainment options available to customers.,10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
AMAZON COM INC,North America,live sports,Access to live sports content.,The North America segment includes access to live sports as one of the benefits provided to customers. This enhances the entertainment offerings available in this region.,10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
AMAZON COM INC,North America,North America and International fulfillment networks,Customer orders fulfilled through North America and International fulfillment networks.,Customer orders in the North America segment are fulfilled through both North America and International fulfillment networks. These networks support efficient order processing and delivery.,10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
AMAZON COM INC,North America,digital delivery,Customer orders fulfilled via digital delivery.,"The North America segment fulfills customer orders through digital delivery methods, enabling quick and efficient access to digital products and services.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
"Meta Platforms, Inc.",Family of Apps,advertising placements,Advertising placements sold on the family of apps to marketers.,"The Family of Apps segment primarily generates revenue through selling advertising placements on its family of apps to marketers. These ads enable marketers to reach people across various marketing objectives such as generating leads or driving awareness. The segment focuses on helping people learn, get things done, create content, and connect with others through its platforms.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1326801/000132680125000017/meta-20241231.htm
"Meta Platforms, Inc.",Reality Labs,AI glasses,"AI glasses designed to help people learn, get things done, create content, and connect with others.","AI glasses are part of the Reality Labs segment, which focuses on enabling users to learn, accomplish tasks, create content, and connect socially. These glasses incorporate artificial intelligence to enhance user experience through web-based interactions.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1326801/000132680125000017/meta-20241231.htm
"Meta Platforms, Inc.",Reality Labs,web-based experiences,"Web-based experiences that facilitate learning, productivity, content creation, and social connection.","The Reality Labs segment includes web-based experiences that allow users to engage in learning, task completion, content creation, and social interaction. These experiences are distinct from the Family of Apps and contribute to the segment's revenue.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1326801/000132680125000017/meta-20241231.htm
NVIDIA CORP,Automotive,AI model training and inference,AI model training and inference tailored for automotive applications.,The Automotive segment focuses on AI model training and inference to support advanced automotive applications. This includes leveraging NVIDIA's GPU technology for efficient processing and optimization.,10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm
NVIDIA CORP,Automotive,data analytics,Data analytics services tailored for the automotive industry.,The Automotive segment provides data analytics capabilities to support automotive industry needs. These analytics help in processing and interpreting large datasets for better decision-making and innovation.,10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm
NVIDIA CORP,Automotive,scientific computing,Scientific computing solutions for automotive industry applications.,The Automotive segment includes scientific computing to enable complex simulations and computations necessary for automotive research and development. This is supported by NVIDIA's GPU technology for enhanced performance.,10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm
NVIDIA CORP,Automotive,3D graphics,3D graphics with vertical-specific optimizations for automotive use cases.,"The Automotive segment offers 3D graphics solutions optimized for automotive industry needs, enabling virtual simulations and advanced visualization. These graphics capabilities leverage NVIDIA's GPU technology.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm
NVIDIA CORP,Automotive,NVIDIA's GPU technology,GPU technology enabling advanced automotive applications and simulations.,"NVIDIA's GPU technology is leveraged in the Automotive segment to enable advanced automotive applications and virtual simulations. This technology supports AI, analytics, scientific computing, and 3D graphics tailored for the automotive industry.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm
NVIDIA CORP,Data Center,Hopper computing platform,A computing platform designed for large language models.,"The Hopper computing platform is a key platform within the Data Center segment, specifically designed to accelerate compute-intensive workloads such as AI and large language models. It supports modern AI applications by scaling to tens of thousands of GPU-accelerated servers.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm
NVIDIA CORP,Data Center,Spectrum-X ethernet platform,An ethernet platform for AI networking.,"The Spectrum-X ethernet platform is a networking solution within the Data Center segment that supports AI networking. It is designed to scale to tens of thousands of GPU-accelerated servers, facilitating modern AI applications.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm
NVIDIA CORP,Gaming,GeForce RTX 40 Series GPUs,A series of GPUs designed for gaming and compute-intensive applications.,"The GeForce RTX 40 Series GPUs are part of NVIDIA's Gaming segment, providing advanced graphics processing capabilities that revolutionize PC gaming and computer graphics. These GPUs support high-performance gaming and complex compute tasks.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm
NVIDIA CORP,Gaming,CUDA programming model,A programming model enabling parallel processing for gaming and compute applications.,The CUDA programming model is a software stack included in NVIDIA's Gaming segment that enables parallel processing. It supports gaming and compute-intensive applications by allowing developers to leverage GPU capabilities effectively.,10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm
NVIDIA CORP,Professional Visualization,platforms,"Platforms combining processors, interconnects, software, algorithms, systems, and services.","The Professional Visualization segment delivers platforms that integrate various components such as processors, interconnects, software, algorithms, systems, and services. These platforms are designed to address markets requiring advanced visualization capabilities.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm
