Company,Ticker,Segment,Segment description,Key products / services (keywords),Primary source,Link
Apple Inc.,AAPL,Mac,"The Mac segment consists of Apple's line of personal computers. According to the filing, net sales of Mac increased in 2025 compared to 2024, contributing to overall company growth in several regions. This segment is specifically tracked as a revenue category in Apple's financial reporting.",Mac,Apple Inc. | 2025 Form 10-K | 22,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm
Apple Inc.,AAPL,Services,"The Services segment includes Apple's revenue from various service offerings. The filing notes that Services experienced significant net sales growth in 2025, and is a distinct revenue category in Apple's financial statements. This segment is highlighted as a key contributor to net sales increases in multiple geographic regions.",Services (1),Apple Inc. | 2025 Form 10-K | 22,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm
Apple Inc.,AAPL,"Wearables, Home and Accessories","The Wearables, Home and Accessories segment covers Apple's products in the wearables and home device categories, as well as related accessories. The filing identifies this as a separate revenue line item, with net sales figures reported for 2025, 2024, and 2023.","Wearables, Home and Accessories",Apple Inc. | 2025 Form 10-K | 22,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm
Apple Inc.,AAPL,iPad,"The iPad segment comprises Apple's tablet product line. The filing reports iPad as a distinct revenue category, with net sales growth in 2025 compared to 2024, and highlights its contribution to regional sales increases.",iPad,Apple Inc. | 2025 Form 10-K | 22,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm
Apple Inc.,AAPL,iPhone,"The iPhone segment includes Apple's flagship smartphone products. The filing shows iPhone as the largest revenue category, with net sales growth in 2025, and notes its significant impact on overall and regional net sales performance.",iPhone,Apple Inc. | 2025 Form 10-K | 22,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm
MICROSOFT CORP,MSFT,Intelligent Cloud,"The Intelligent Cloud segment consists of Microsoft's public, private, and hybrid server products and cloud services that power modern businesses and developers. This includes cloud and AI consumption-based services, server products, and enterprise and partner services, supporting a wide range of IT, development, and business needs. The segment features offerings such as Azure, GitHub, Nuance Healthcare, SQL Server, Windows Server, Visual Studio, System Center, and related enterprise support and partner services.",Server products and cloud services; Azure; Azure AI; Azure AI Foundry; GitHub; Nuance Healthcare; SQL Server; Windows Server; Visual Studio; System Center; Client Access Licenses (CALs); Enterprise and partner services; Enterprise Support Services; Industry Solutions; Nuance professional services; Microsoft Partner Network; Learning Experience,10-K segment description and product listing,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
MICROSOFT CORP,MSFT,More Personal Computing,"The More Personal Computing segment includes products and services that focus on delivering personalized technology experiences to customers. This segment covers Windows and Devices (including Windows OEM licensing, Surface, and PC accessories), Gaming (Xbox hardware, content, and services), and Search and news advertising (Bing, Copilot, Microsoft News, Microsoft Edge, and third-party affiliates). The segment aims to connect users to content and experiences across devices, gaming, and digital advertising.",Windows and Devices; Windows OEM; Windows Pro; Windows non-Pro; Surface; Copilot+ PCs; PC accessories; Gaming; Xbox hardware; Xbox content and services; Xbox Game Pass; Xbox Cloud Gaming; Bing; Copilot; Microsoft News; Microsoft Edge; Search and news advertising,10-K segment description and product listing,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
MICROSOFT CORP,MSFT,Productivity and Business Processes,"The Productivity and Business Processes segment comprises Microsoft's portfolio of productivity, communication, and information services across devices and platforms. It includes Microsoft 365 Commercial and Consumer products and cloud services, LinkedIn, and Dynamics products and cloud services. The segment focuses on empowering organizations and individuals with AI-powered productivity tools, professional networking, and intelligent business applications.",Microsoft 365 Commercial products and cloud services; Microsoft 365 Commercial cloud; Microsoft 365 Commercial; Enterprise Mobility + Security; Windows Commercial on-premises; Office licensed on-premises; Power BI; Exchange; SharePoint; Microsoft Teams; Microsoft 365 Security and Compliance; Microsoft 365 Copilot; Microsoft 365 Consumer products and cloud services; Microsoft 365 Consumer subscriptions; Office licensed on-premises; Outlook.com; OneDrive; LinkedIn; Talent Solutions; Marketing Solutions; Premium Subscriptions; Sales Solutions; Dynamics products and cloud services; Dynamics 365; Power Apps; Power Automate,10-K segment description and product listing,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
Alphabet Inc.,GOOGL,Google Cloud,"The Google Cloud segment provides enterprise cloud services and solutions, including infrastructure, platform, and other services for businesses. This segment focuses on helping organizations modernize their IT environments and leverage cloud-based technologies. Revenue for this segment is primarily generated from Google Cloud offerings.",Google Cloud,text_snippet and revenue_items_from_filing,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm
Alphabet Inc.,GOOGL,Google Services,"The Google Services segment encompasses a broad range of products and services, including search, advertising, and consumer platforms. This segment generates revenue from Google Search & other, YouTube ads, Google Network, and Google subscriptions, platforms, and devices. It represents the core of Alphabet's consumer-facing business operations.","Google Search & other; YouTube ads; Google Network; Google subscriptions, platforms, and devices",text_snippet and revenue_items_from_filing,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm
Alphabet Inc.,GOOGL,Other Bets,"The Other Bets segment includes a collection of Alphabet's experimental and emerging businesses that are outside of its core Google Services and Google Cloud operations. This segment is focused on long-term innovation and new technologies, and its revenue is reported under 'Other Bets'.",Other Bets,text_snippet and revenue_items_from_filing,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm
